Player,Team,Position,Rk,Status,Opponent,FPts,FP/G,% Owned,+/-
Jonny Evans,LEI,D,205,mcavinur,LEI 2<br/>@SHU 1 F,5.05,5.05,67%,14.1%
Vicente Guaita,CRY,G,206,FA, CRY 2<br/>@MUN 1 F,5,5,58%,26.2%
Dominic Calvert-Lewin,EVE,F,207,FA,EVE 0<br/>@AVL 2 F,4.85,4.85,25%,-4%
Nacho Monreal,ARS,D,208,ColmL,ARS 1<br/>@LIV 3 F,4.7,4.7,22%,-9.1%
Riyad Mahrez,MCI,"M,F",209,ColmOF,MCI 3<br/>@BOU 1 F,4.5,4.5,100%,0.3%
Jordan Pickford,EVE,G,210,FA,EVE 0<br/>@AVL 2 F,4.5,4.5,100%,2.3%
Christian Fuchs,LEI,D,211,FA,LEI 2<br/>@SHU 1 F,4.4,4.4,0%,-2.1%
Dani Ceballos,ARS,M,212,Damo,ARS 1<br/>@LIV 3 F,4.25,4.25,100%,5.1%
Moise Kean,EVE,F,213,Damo,EVE 0<br/>@AVL 2 F,4.25,4.25,100%,13.4%
Bernard,EVE,"M,F",214,MKFC,EVE 0<br/>@AVL 2 F,4.25,4.25,50%,-17.1%
Billy Sharp,SHU,F,215,FA,LEI 2<br/>@SHU 1 F,4.25,4.25,8%,-2.5%
Virgil van Dijk,LIV,D,216,Seanmacd,ARS 1<br/>@LIV 3 F,4.2,4.2,100%,0%
Che Adams,SOU,F,217,FA,SOU 2<br/>@BHA 0 F,4.2,4.2,42%,12.5%
Nicolas Otamendi,MCI,D,218,FA,MCI 3<br/>@BOU 1 F,4.05,4.05,67%,-4.5%
David Luiz,ARS,D,219,ColmL,ARS 1<br/>@LIV 3 F,4,4,75%,-2.4%
Andre Gomes,EVE,M,220,FA,EVE 0<br/>@AVL 2 F,4,4,33%,9.5%
Erik Lamela,TOT,M,221,Eoghanoc,NEW 1<br/>@TOT 0 F,3.75,3.75,83%,-0.2%
James Milner,LIV,M,222,mcavinur,ARS 1<br/>@LIV 3 F,3.75,3.75,75%,11.8%
Jesse Lingard,MUN,"M,F",223,FA, CRY 2<br/>@MUN 1 F,3.75,3.75,42%,-6.5%
Christian Eriksen,TOT,M,224,Eoghanoc,NEW 1<br/>@TOT 0 F,3.5,3.5,100%,0.2%
Pascal Gross,BHA,M,225,ColmL,SOU 2<br/>@BHA 0 F,3.5,3.5,75%,-6.5%
Callum Robinson,SHU,F,226,FA,LEI 2<br/>@SHU 1 F,3.5,3.5,25%,15.1%
Andros Townsend,CRY,"M,F",227,Seanmacd, CRY 2<br/>@MUN 1 F,3.35,3.35,92%,3.7%
Pablo Fornals,WHU,M,228,FA,WHU 3<br/>@WAT 1 F,3.35,3.35,50%,5.7%
Kenny McLean,NOR,M,229,FA,CHE 3<br/>@NOR 2 F,3.35,3.35,0%,-0.6%
Harry Kane,TOT,F,230,MKFC,NEW 1<br/>@TOT 0 F,3.25,3.25,100%,0.1%
Giovani Lo Celso,TOT,M,231,FA,NEW 1<br/>@TOT 0 F,3.25,3.25,83%,12.6%
Marco Stiepermann,NOR,M,232,FA,CHE 3<br/>@NOR 2 F,3.2,3.2,8%,3.7%
Adama Traore,WOL,F,233,FA,BUR 1<br/>@WOL 1 F,3.1,3.1,25%,5.5%
Yan Valery,SOU,"D,M",234,FA,SOU 2<br/>@BHA 0 F,3.1,3.1,8%,-0.6%
Luke Shaw,MUN,D,235,ColmL, CRY 2<br/>@MUN 1 F,3,3,92%,1.9%
Adam Smith,BOU,D,236,FA,MCI 3<br/>@BOU 1 F,3,3,0%,-3.8%
Christian Benteke,CRY,F,237,FA, CRY 2<br/>@MUN 1 F,2.5,2.5,42%,10.4%
Dean Henderson,SHU,G,238,FA,LEI 2<br/>@SHU 1 F,2.5,2.5,17%,1.6%
Jay Rodriguez,BUR,F,239,FA,BUR 1<br/>@WOL 1 F,2.5,2.5,8%,4.2%
James McCarthy,CRY,M,240,FA, CRY 2<br/>@MUN 1 F,2.5,2.5,0%,-0.5%
Gary Cahill,CRY,D,241,FA, CRY 2<br/>@MUN 1 F,2.45,2.45,0%,-4.5%
Glenn Murray,BHA,F,242,FA,SOU 2<br/>@BHA 0 F,2.25,2.25,50%,12%
Leander Dendoncker,WOL,M,243,FA,BUR 1<br/>@WOL 1 F,2.25,2.25,8%,-11.6%
Jordon Ibe,BOU,M,244,FA,MCI 3<br/>@BOU 1 F,2.25,2.25,0%,-0.6%
Aaron Wan-Bissaka,MUN,D,245,MKFC, CRY 2<br/>@MUN 1 F,2.15,2.15,100%,0.2%
Stuart Armstrong,SOU,"M,F",246,FA,SOU 2<br/>@BHA 0 F,2,2,0%,-3.5%
Pedro Neto,WOL,F,247,FA,BUR 1<br/>@WOL 1 F,2,2,0%,-0.7%
Wes Morgan,LEI,D,248,FA,LEI 2<br/>@SHU 1 F,2,2,0%,-4.1%
Dennis Srbeny,NOR,F,249,FA,CHE 3<br/>@NOR 2 F,2,2,0%,-0.3%
Federico Fernandez,NEW,D,250,FA,NEW 1<br/>@TOT 0 F,1.9,1.9,0%,-0.6%
Willian,CHE,F,251,FA,CHE 3<br/>@NOR 2 F,1.75,1.75,83%,2.8%
Rodrigo,MCI,M,252,Seanmacd,MCI 3<br/>@BOU 1 F,1.75,1.75,83%,-6.2%
Mason Greenwood,MUN,F,253,FA, CRY 2<br/>@MUN 1 F,1.75,1.75,25%,-0.7%
Domingos Quina,WAT,M,254,FA,WHU 3<br/>@WAT 1 F,1.75,1.75,0%,-0.3%
Danny Welbeck,WAT,F,255,FA,WHU 3<br/>@WAT 1 F,1.75,1.75,0%,-5.2%
Nampalys Mendy,LEI,M,256,FA,LEI 2<br/>@SHU 1 F,1.6,1.6,0%,-0.9%
Kyle Walker,MCI,D,257,MKFC,MCI 3<br/>@BOU 1 F,1.5,1.5,100%,0.4%
Olivier Giroud,CHE,F,258,MKFC,CHE 3<br/>@NOR 2 F,1.5,1.5,50%,2.6%
Juan Mata,MUN,M,259,FA, CRY 2<br/>@MUN 1 F,1.25,1.25,17%,-6.5%
Allan Saint-Maximin,NEW,F,260,FA,NEW 1<br/>@TOT 0 F,1.25,1.25,17%,2.8%
Jeff Hendrick,BUR,M,261,FA,BUR 1<br/>@WOL 1 F,1.25,1.25,0%,-1%
Yoshinori Muto,NEW,F,262,FA,NEW 1<br/>@TOT 0 F,1.25,1.25,0%,-0.5%
Carlos Sanchez,WHU,M,263,FA,WHU 3<br/>@WAT 1 F,1.25,1.25,0%,-0.5%
Alex Oxlade-Chamberlain,LIV,M,264,FA,ARS 1<br/>@LIV 3 F,1.1,1.1,50%,-13.2%
Ben Davies,TOT,D,265,FA,NEW 1<br/>@TOT 0 F,1.1,1.1,42%,10.8%
Ahmed El Mohamady,AVL,D,266,FA,EVE 0<br/>@AVL 2 F,1,1,17%,9.9%
Mario Vrancic,NOR,M,267,FA,CHE 3<br/>@NOR 2 F,1,1,8%,5.9%
Adam Lallana,LIV,M,268,FA,ARS 1<br/>@LIV 3 F,1,1,0%,-1.2%
Theo Walcott,EVE,"M,F",269,FA,EVE 0<br/>@AVL 2 F,1,1,0%,-13.2%
