"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Teemu Pukki","NOR","F","227","ColmOF","AVL 5<br/>@NOR 1 F","3.5","3.5","99%","-1.1%"
"Dominic Calvert-Lewin","EVE","F","228","FA","EVE 0<br/>@BUR 1 F","3.5","3.5","35%","-14.8%"
"Dominic Solanke","BOU","F","229","FA","BOU 0<br/>@ARS 1 F","3.45","3.45","11%","+2.3%"
"Maya Yoshida","SOU","D","230","FA","CHE 4<br/>@SOU 1 F","3.4","3.4","2%","-6.5%"
"Ben Godfrey","NOR","D,M","231","FA","AVL 5<br/>@NOR 1 F","3.3","3.3","4%","-4.6%"
"Bernardo Silva","MCI","M,F","232","mcavinur","WOL 2<br/>@MCI 0 F","3.25","3.25","100%","-0.1%"
"Miguel Almiron","NEW","M","233","FA","MUN 0<br/>@NEW 1 F","3.25","3.25","46%","-12.8%"
"Mateo Kovacic","CHE","M","234","FA","CHE 4<br/>@SOU 1 F","3","3","35%","-23.4%"
"Adrian","LIV","G","235","FA","LEI 1<br/>@LIV 2 F","3","3","31%","-19%"
"Michael Obafemi","SOU","F","236","FA","CHE 4<br/>@SOU 1 F","3","3","1%","+0.5%"
"Dennis Srbeny","NOR","F","237","FA","AVL 5<br/>@NOR 1 F","3","3","0%","+0.4%"
"Harvey Barnes","LEI","M","238","FA","LEI 1<br/>@LIV 2 F","2.75","2.75","40%","+6.3%"
"Mason Greenwood","MUN","F","239","FA","MUN 0<br/>@NEW 1 F","2.75","2.75","18%","+1.1%"
"Arnaut Danjuma Groeneveld","BOU","F","240","FA","BOU 0<br/>@ARS 1 F","2.75","2.75","1%","-7%"
"Harry Winks","TOT","M","241","FA","TOT 0<br/>@BHA 3 F","2.6","2.6","15%","-26.7%"
"Divock Origi","LIV","F","242","FA","LEI 1<br/>@LIV 2 F","2.5","2.5","46%","+3.8%"
