Player,Team,Position,Rk,Status,Opponent,FPts,FP/G,% Owned,+/-
Isaac Success,WAT,F,267,FA,WAT 0</br>@BHA 3 F,0.5,0.5,1%,0%
Oliver Skipp,TOT,M,268,FA,AVL 1</br>@TOT 3 F,0.5,0.5,0%,0%
Fabian Balbuena,WHU,D,269,FA,MCI 5<br/>@WHU 0 F,0.4,0.4,19%,0%
Moritz Leitner,NOR,M,270,FA,NOR 1<br/>@LIV 4 F,0.1,0.1,1%,0%
Bernardo Silva,MCI,"M,F",271,mcavinur,MCI 5<br/>@WHU 0 F,0,0,100%,0%
Alexandre Lacazette,ARS,F,272,ColmL,ARS 1</br>@NEW 0 F,0,0,100%,0%
Son Heung-Min,TOT,"M,F",273,Eoghanoc,AVL 1</br>@TOT 3 F,0,0,100%,0%
Dele Alli,TOT,M,274,ColmL,AVL 1</br>@TOT 3 F,0,0,99%,0%
David Luiz,ARS,D,275,ColmL,ARS 1</br>@NEW 0 F,0,0,98%,0%
Marcos Alonso,CHE,D,276,W (Thu),CHE 0<br/>@MUN 4 F,0,0,97%,0%
Willian,CHE,F,277,MKFC,CHE 0<br/>@MUN 4 F,0,0,97%,0%
Mesut Ozil,ARS,M,278,Eoghanoc,ARS 1</br>@NEW 0 F,0,0,96%,0%
Jan Vertonghen,TOT,D,279,Damo,AVL 1</br>@TOT 3 F,0,0,89%,0%
Benjamin Mendy,MCI,D,280,MKFC,MCI 5<br/>@WHU 0 F,0,0,88%,0%
Alex Iwobi,EVE,"M,F",281,FA,EVE 0<br/>@CRY 0 F,0,0,78%,0%
Joel Matip,LIV,D,282,FA,NOR 1<br/>@LIV 4 F,0,0,78%,0%
Alex Oxlade-Chamberlain,LIV,M,283,FA,NOR 1<br/>@LIV 4 F,0,0,78%,0%
David Brooks,BOU,M,284,ColmL,SHU 1</br>@BOU 1 F,0,0,69%,0%
Leroy Sane,MCI,F,285,FA,MCI 5<br/>@WHU 0 F,0,0,67%,0%
Sead Kolasinac,ARS,"D,M",286,FA,ARS 1</br>@NEW 0 F,0,0,67%,0%
Fernandinho,MCI,M,287,MKFC,MCI 5<br/>@WHU 0 F,0,0,64%,0%
Naby Keita,LIV,M,288,Damo,NOR 1<br/>@LIV 4 F,0,0,64%,0%
Callum Hudson-Odoi,CHE,F,289,FA,CHE 0<br/>@MUN 4 F,0,0,62%,0%
Matt Targett,AVL,"D,M",290,FA,AVL 1</br>@TOT 3 F,0,0,61%,0%
Joao Cancelo,MCI,D,291,ColmOF,MCI 5<br/>@WHU 0 F,0,0,61%,0%
Antonio Rudiger,CHE,D,292,FA,CHE 0<br/>@MUN 4 F,0,0,57%,0%
Shkodran Mustafi,ARS,D,293,FA,ARS 1</br>@NEW 0 F,0,0,56%,0%
Alexis Sanchez,MUN,F,294,FA,CHE 0<br/>@MUN 4 F,0,0,53%,0%
Serge Aurier,TOT,D,295,FA,AVL 1</br>@TOT 3 F,0,0,49%,0%
Nicolas Otamendi,MCI,D,296,W (Thu),MCI 5<br/>@WHU 0 F,0,0,48%,0%
Giovani Lo Celso,TOT,M,297,ZKL,AVL 1</br>@TOT 3 F,0,0,47%,0%
Jeffrey Schlupp,CRY,"D,M",298,FA,EVE 0<br/>@CRY 0 F,0,0,46%,0%
Leandro Trossard,BHA,M,299,FA,WAT 0</br>@BHA 3 F,0,0,42%,0%
Hector Bellerin,ARS,D,300,FA,ARS 1</br>@NEW 0 F,0,0,42%,0%
Ben Davies,TOT,D,301,FA,AVL 1</br>@TOT 3 F,0,0,42%,0%
Michy Batshuayi,CHE,F,302,FA,CHE 0<br/>@MUN 4 F,0,0,42%,0%
Kieran Tierney,ARS,D,303,FA,ARS 1</br>@NEW 0 F,0,0,38%,0%
Lucas Torreira,ARS,M,304,FA,ARS 1</br>@NEW 0 F,0,0,32%,0%
Fabian Delph,EVE,"D,M",305,FA,EVE 0<br/>@CRY 0 F,0,0,31%,0%
Theo Walcott,EVE,"M,F",306,FA,EVE 0<br/>@CRY 0 F,0,0,31%,0%
Xherdan Shaqiri,LIV,"M,F",307,FA,NOR 1<br/>@LIV 4 F,0,0,29%,0%
Harry Wilson,BOU,M,308,Damo,SHU 1</br>@BOU 1 F,0,0,29%,0%
Ruben Loftus-Cheek,CHE,M,309,FA,CHE 0<br/>@MUN 4 F,0,0,29%,0%
Ryan Sessegnon,TOT,"M,F",310,mcavinur,AVL 1</br>@TOT 3 F,0,0,29%,0%
Ashley Young,MUN,D,311,FA,CHE 0<br/>@MUN 4 F,0,0,28%,0%
Victor Camarasa,CRY,M,312,FA,EVE 0<br/>@CRY 0 F,0,0,24%,0%
Ismaila Sarr,WAT,F,313,FA,WAT 0</br>@BHA 3 F,0,0,22%,0%
Andriy Yarmolenko,WHU,F,314,FA,MCI 5<br/>@WHU 0 F,0,0,21%,0%
Demarai Gray,LEI,M,315,FA,WOL 0</br>@LEI 0 F,0,0,17%,0%
James Tomkins,CRY,D,316,FA,EVE 0<br/>@CRY 0 F,0,0,16%,0%
Aaron Mooy,BHA,M,317,FA,WAT 0</br>@BHA 3 F,0,0,14%,0%
Djibril Sidibe,EVE,D,318,FA,EVE 0<br/>@CRY 0 F,0,0,14%,0%
Mark Noble,WHU,M,319,FA,MCI 5<br/>@WHU 0 F,0,0,14%,0%
Charlie Taylor,BUR,D,320,FA,SOU 0<br/>@BUR 3 F,0,0,11%,0%
Dejan Lovren,LIV,D,321,FA,NOR 1<br/>@LIV 4 F,0,0,10%,0%
Angelino,MCI,D,322,FA,MCI 5<br/>@WHU 0 F,0,0,10%,0%
Adrian,LIV,G,323,FA,NOR 1<br/>@LIV 4 F,0,0,10%,0%
Jesus Vallejo,WOL,D,324,FA,WOL 0</br>@LEI 0 F,0,0,10%,0%
Mamadou Sakho,CRY,D,325,FA,EVE 0<br/>@CRY 0 F,0,0,9%,0%
Mario Vrancic,NOR,M,326,FA,NOR 1<br/>@LIV 4 F,0,0,9%,0%
Nemanja Matic,MUN,M,327,FA,CHE 0<br/>@MUN 4 F,0,0,8%,0%
Gary Cahill,CRY,D,328,FA,EVE 0<br/>@CRY 0 F,0,0,8%,0%
Wes Morgan,LEI,D,329,FA,WOL 0</br>@LEI 0 F,0,0,8%,0%
Adama Traore,WOL,F,330,FA,WOL 0</br>@LEI 0 F,0,0,7%,0%
Rob Holding,ARS,D,331,FA,ARS 1</br>@NEW 0 F,0,0,6%,0%
Chris Smalling,MUN,D,332,FA,CHE 0<br/>@MUN 4 F,0,0,6%,0%
Dennis Praet,LEI,M,333,FA,WOL 0</br>@LEI 0 F,0,0,6%,0%
Mario Lemina,SOU,M,334,FA,SOU 0<br/>@BUR 3 F,0,0,6%,0%
Juan Foyth,TOT,D,335,FA,AVL 1</br>@TOT 3 F,0,0,6%,0%
Danny Welbeck,WAT,F,336,FA,WAT 0</br>@BHA 3 F,0,0,5%,0%
Stuart Armstrong,SOU,"M,F",337,FA,SOU 0<br/>@BUR 3 F,0,0,5%,0%
Frederic Guilbert,AVL,D,338,FA,AVL 1</br>@TOT 3 F,0,0,5%,0%
Ravel Morrison,SHU,M,339,FA,SHU 1</br>@BOU 1 F,0,0,5%,0%
Patrick Roberts,NOR,M,340,FA,NOR 1<br/>@LIV 4 F,0,0,5%,0%
Daniel Drinkwater,BUR,M,341,FA,SOU 0<br/>@BUR 3 F,0,0,5%,0%
